Horodateur;Vous êtes actuellement :;Quelle était votre série au Baccalauréat ?;Quelles étaient vos matières préférées au lycée ?;Dans quelles matières vous étiez doués?;Dans quelles activités pensez-vous être naturellement à l'aise ?;Parmi les activités suivantes, lesquelles vous attirent le plus ?;Quel type de problème aimez-vous le plus résoudre ?;Quel type d'activité pédagogique vous attire le plus ?;Aimez-vous plutôt la pratique ou les leçons (théorie) ?;Quel rythme de travail vous correspond le mieux ?;Dans quel environnement aimeriez-vous travailler ?;Quels sont vos domaines d'intérêt principaux ? (Ex: programmation, musique, voyage, dessins, chimie, ...) Mentionnez-en plusieurs si vous en avez;Préférez-vous travailler principalement ?;Qu'est-ce qui est le plus important pour vous dans le choix d'une formation ?;Avez-vous étudié ou étudiez-vous à l'ISPM ?;Si oui, quelle est / a été votre filière (mention) à l'ISPM ?;Si vous êtes diplômé(e) / professionnel(le), quel est votre métier actuel ?;Si vous êtes diplômés, avec le recul, quel est votre niveau de satisfaction concernant l'adéquation entre votre formation et votre métier ?
2026-08-30 01:09:49.000000;Professionnel(le) diplômé(e) / Actif(ve);Série C;Physique, Mathématiques, Chimie, Technologie / Sciences industrielles;Mathématiques, Physique, Chimie, Histoire / Géographie;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Travailler dans le tourisme;Problèmes mathématiques et logiques, Problèmes techniques et industriels, Problèmes scientifiques et expérimentaux;Résoudre des exercices, Faire des sorties / visites de terrain;Orienté très fortement Pratique & Projets;Je ne sais pas encore;Je ne sais pas encore;dessin, histoire;Avec beaucoup de contacts avec des partenaires;Faire quelque chose que j'aime, Créer ma propre entreprise;Oui;ISAIA : Informatique Statistique Appliquée et Intelligence Artificielle;Chercheur;1
2026-08-27 19:17:01.000000;Étudiant(e);Série Technique;Physique, Mathématiques, Arts / Design;Technologie / Sciences industrielles, Mathématiques, Physique, Chimie, Gestion / Comptabilité;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Organiser, Mémoriser;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures, Analyser des chiffres et des données, Étudier les propriétés des substances et des matériaux;Problèmes liés à la construction et aux infrastructures, Problèmes techniques et industriels;Faire des travaux pratiques, Réaliser un projet, Participer à des simulations ou études de cas;Orienté fortement Théorie, Leçons;Travail principalement régulier et structuré;Milieu rural;chimie;En binôme;Avoir un salaire intéressant, Travailler avec des personnes, Avoir la possibilité de travailler à l'étranger, Travailler dans mon domaine de passion, Utiliser mes points forts;Oui;ESIIA : Electronique Système Informatique et Intelligence Artificielle;;
2026-08-21 13:00:10.000000;Professionnel(le) diplômé(e) / Actif(ve);Série OSE;Histoire / Géographie, Sciences de la vie / Biologie, Français / Langues, Économie;Sciences de la vie / Biologie, Histoire / Géographie;Organiser, Communiquer, Travailler avec des personnes, Rédiger, Manipuler des outils;Organiser et coordonner des projets, Gérer une entreprise ou une organisation;Problèmes économiques et financiers, Problèmes liés à l'environnement;Travailler en groupe, Faire des travaux pratiques;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Environnement naturel;jardinage;Seul(e);Faire quelque chose que j'aime, Pouvoir évoluer professionnellement, Avoir de bonnes opportunités d'emploi;Non;;Agent de développement durable;3
2026-08-28 23:49:10.000000;Étudiant(e);Série L;Philosophie, Français / Langues;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Comprendre et utiliser des machines;Problèmes liés à la communication et au commerce, Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation;Faire des recherches documentaires, Travailler en groupe, Faire des présentations / exposés;Orienté très fortement Pratique & Projets;Je ne sais pas encore;Milieu rural;marketing, lecture;Seul(e);Faire quelque chose que j'aime, Créer ma propre entreprise, Avoir un métier stable;Non;;;
2026-08-30 20:49:10.000000;Étudiant(e);Série Technique;Mathématiques, Physique;Technologie / Sciences industrielles, Mathématiques, Physique;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Communiquer;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures;Problèmes techniques et industriels, Problèmes liés à la construction et aux infrastructures, Problèmes liés aux machines et aux systèmes;Réaliser un projet, Faire des recherches documentaires, Faire des travaux pratiques;Orienté très fortement Pratique & Projets;Je ne sais pas encore;Tribunal / administration juridique;cuisine;En grande équipe;Travailler avec des personnes, Pouvoir évoluer professionnellement, Résoudre des problèmes;Oui;EMII : Electro-Mécanique et Informatique Industrielle;;
2026-08-22 17:04:20.000000;Étudiant(e);Série A1 /Série A2;Philosophie, Histoire / Géographie, Économie;Français / Langues, Histoire / Géographie, Philosophie, Chimie, Sciences de la vie / Biologie;Rédiger, Argumenter, Mémoriser, Observer, Analyser des informations, Calculer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Étudier le vivant, les plantes ou les animaux;Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce, Problèmes liés à la gestion d'une organisation;Réaliser des expériences, Réaliser un projet;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Hôtel / restaurant;langues, dessin;En binôme;Créer ma propre entreprise, Avoir de bonnes opportunités d'emploi, Pouvoir évoluer professionnellement;Oui;EMP : Economie et Management de Projet;;
2026-08-20 03:51:22.000000;Étudiant(e);Série C;Mathématiques, Physique, Informatique;Mathématiques, Physique, Chimie, Français / Langues;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Diriger une équipe;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques;Problèmes mathématiques et logiques, Problèmes techniques et industriels;Participer à des simulations ou études de cas, Travailler en groupe, Réaliser des expériences, Réaliser un projet;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Usine / environnement industriel;géopolitique, mode, théâtre;Avec beaucoup de contacts avec des clients / utilisateurs;Être utile à la société, Utiliser mes matières préférées;Oui;ISAIA : Informatique Statistique Appliquée et Intelligence Artificielle;;
2026-08-30 09:55:34.000000;Étudiant(e);Série S;Chimie, Mathématiques, Informatique;Mathématiques, Physique, Chimie, Économie;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Organiser;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques;Problèmes mathématiques et logiques, Problèmes scientifiques et expérimentaux, Problèmes techniques et industriels;Travailler en groupe, Réaliser un projet, Faire des sorties / visites de terrain, Faire des présentations / exposés, Faire des travaux pratiques;Équilibré entre Théorie et Pratique;Travail principalement régulier et structuré;Environnement naturel;danse, économie, voyage;Seul(e);Avoir de bonnes opportunités d'emploi, Travailler dans mon domaine de passion, Utiliser mes points forts;Oui;IMTICIA : Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle;;
2026-08-23 12:38:32.000000;Étudiant(e);Série L;Histoire / Géographie, Philosophie, Français / Langues, Gestion / Comptabilité;Français / Langues, Histoire / Géographie, Philosophie, Mathématiques;Rédiger, Argumenter, Mémoriser, Observer, Expérimenter, Analyser des informations;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce, Problèmes liés à la gestion d'une organisation;Faire des travaux pratiques, Résoudre des exercices, Réaliser des expériences, Travailler en groupe, Faire des recherches documentaires;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Environnement informatique / numérique;échecs, photographie, bricolage, voyage;En binôme;Faire de la recherche, Avoir un métier stable, Résoudre des problèmes;Oui;EMP : Economie et Management de Projet;;
2026-08-26 16:19:09.000000;Étudiant(e);Série D;Physique, Mathématiques, Sciences de la vie / Biologie;Sciences de la vie / Biologie, Chimie, Mathématiques, Philosophie, Gestion / Comptabilité;Observer, Expérimenter, Résoudre des problèmes, Analyser des informations, Argumenter, Communiquer;Étudier le vivant, les plantes ou les animaux, Réaliser des expériences en laboratoire, Observer et comprendre des phénomènes scientifiques, Faire de la recherche scientifique;Problèmes scientifiques et expérimentaux, Je ne sais pas encore, Problèmes liés à l'agriculture et à l'élevage, Problèmes liés à la santé, aux médicaments ou aux produits biologiques;Faire des présentations / exposés, Participer à des simulations ou études de cas, Résoudre des exercices, Réaliser des expériences;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Centre de recherche;environnement, géopolitique;En grande équipe;Pouvoir évoluer professionnellement, Utiliser mes matières préférées, Travailler avec des personnes;Oui;PIP : Pharmacologie et Industries Pharmaceutiques;;
2026-08-23 02:59:22.000000;Professionnel(le) diplômé(e) / Actif(ve);Série OSE;Histoire / Géographie, Sciences de la vie / Biologie, Français / Langues;Sciences de la vie / Biologie, Histoire / Géographie, Technologie / Sciences industrielles, Physique;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Créer et concevoir des contenus, Protéger l'environnement;Problèmes économiques et financiers, Problèmes liés à l'environnement;Participer à des simulations ou études de cas, Faire des présentations / exposés;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Tribunal / administration juridique;lecture, physique, sport;Cela m'est égal;Travailler avec des personnes, Résoudre des problèmes, Travailler dans mon domaine de passion, Avoir un salaire intéressant, Travailler dans un domaine scientifique;Non;;Directeur marketing;3
2026-08-23 20:13:17.000000;Étudiant(e);Série L;Français / Langues, Philosophie, Économie;Français / Langues, Histoire / Géographie, Philosophie, Chimie;Rédiger, Argumenter, Mémoriser, Observer, Travailler avec des personnes, Expérimenter;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Étudier le vivant, les plantes ou les animaux, Vendre, négocier ou développer une activité commerciale;Problèmes liés à la communication et au commerce, Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation;Faire des recherches documentaires, Faire des travaux pratiques;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Bureau / administration;finance, écriture;Seul(e);Utiliser mes matières préférées, Résoudre des problèmes, Faire de la recherche, Travailler dans mon domaine de passion, Avoir un métier stable;Non;;;
2026-08-24 11:25:16.000000;Étudiant(e);Série A1 /Série A2;Philosophie, Français / Langues, Histoire / Géographie, Économie;Français / Langues, Histoire / Géographie, Philosophie, Mathématiques;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce, Problèmes liés à la gestion d'une organisation;Résoudre des exercices, Faire des présentations / exposés, Réaliser des expériences, Réaliser un projet;Orienté très fortement Pratique & Projets;Travail principalement régulier et structuré;Établissement de santé / pharmaceutique;mode, histoire, mathématiques, environnement;Avec beaucoup de contacts avec des clients / utilisateurs;Créer ma propre entreprise, Travailler avec des personnes, Avoir la possibilité de travailler à l'étranger, Avoir de bonnes opportunités d'emploi, Faire de la recherche;Non;;;
2026-08-28 02:00:14.000000;Étudiant(e);Série S;Mathématiques, Chimie, Technologie / Sciences industrielles;Mathématiques, Physique, Chimie, Français / Langues, Économie;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Travailler avec des personnes;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Travailler dans l'agriculture ou l'élevage;Problèmes mathématiques et logiques, Problèmes scientifiques et expérimentaux, Problèmes techniques et industriels;Participer à des simulations ou études de cas, Faire des sorties / visites de terrain;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Environnement naturel;astronomie, mathématiques, jeux vidéo, animaux;Avec beaucoup de contacts avec des clients / utilisateurs;Utiliser mes matières préférées, Travailler avec des technologies, Utiliser mes points forts, Travailler dans un domaine scientifique;Oui;ESIIA : Electronique Système Informatique et Intelligence Artificielle;;
2026-08-20 15:22:40.000000;Professionnel(le) diplômé(e) / Actif(ve);Série A1 /Série A2;Philosophie, Français / Langues, Économie;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer, Manipuler des outils, Organiser;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce, Problèmes liés à la gestion d'une organisation;Réaliser un projet, Faire des sorties / visites de terrain, Faire des présentations / exposés, Participer à des simulations ou études de cas;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Terrain agricole;chimie, jardinage;En petite équipe;Utiliser mes matières préférées, Créer ma propre entreprise, Faire de la recherche, Faire quelque chose que j'aime, Avoir un métier stable;Oui;CAA : Commerce et Administration des Affaires;Comptable;2
2026-08-22 13:11:19.000000;Étudiant(e);Série OSE;Sciences de la vie / Biologie, Histoire / Géographie, Français / Langues, Économie;Sciences de la vie / Biologie, Histoire / Géographie, Informatique;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation;Problèmes économiques et financiers, Problèmes liés à l'environnement;Faire des sorties / visites de terrain, Résoudre des exercices;Orienté fortement Théorie, Leçons;Je ne sais pas encore;Entreprise / organisation;design, environnement, électronique;Avec beaucoup de contacts avec des clients / utilisateurs;Faire quelque chose que j'aime, Être utile à la société, Avoir de bonnes opportunités d'emploi, Avoir un métier stable, Travailler avec des technologies;Oui;TEH : Tourisme , Environnement et Hôtellerie;;
2026-08-26 05:08:24.000000;Étudiant(e);Autre;Français / Langues, Histoire / Géographie, Arts / Design;Français / Langues, Histoire / Géographie;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Étudier le vivant, les plantes ou les animaux, Concevoir des systèmes techniques;Problèmes liés à l'environnement, Problèmes économiques et financiers;Faire des sorties / visites de terrain, Faire des recherches documentaires;Orienté fortement Théorie, Leçons;Travail principalement régulier et structuré;Chantier;lecture, mode;En grande équipe;Travailler dans mon domaine de passion, Pouvoir évoluer professionnellement, Travailler avec des technologies, Utiliser mes points forts, Avoir un salaire intéressant;Oui;CAA : Commerce et Administration des Affaires;;
2026-08-20 05:23:00.000000;Étudiant(e);Série OSE;Français / Langues, Sciences de la vie / Biologie, Histoire / Géographie;Sciences de la vie / Biologie, Histoire / Géographie;Organiser, Communiquer, Travailler avec des personnes, Rédiger, Manipuler des outils;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Étudier les propriétés des substances et des matériaux;Problèmes économiques et financiers, Problèmes liés à l'environnement;Participer à des simulations ou études de cas, Faire des travaux pratiques;Orienté très fortement Pratique & Projets;Travail principalement régulier et structuré;Entreprise / organisation;mode, photographie, dessin, robotique;Avec beaucoup de contacts avec des partenaires;Travailler avec des personnes, Avoir la possibilité de travailler à l'étranger, Pouvoir évoluer professionnellement, Résoudre des problèmes;Oui;CAA : Commerce et Administration des Affaires;;
2026-08-25 08:18:54.000000;Étudiant(e);Série D;Sciences de la vie / Biologie, Mathématiques, Histoire / Géographie;Sciences de la vie / Biologie, Chimie, Mathématiques, Technologie / Sciences industrielles, Physique;Observer, Expérimenter, Résoudre des problèmes, Analyser des informations;Étudier le vivant, les plantes ou les animaux, Réaliser des expériences en laboratoire, Observer et comprendre des phénomènes scientifiques, Découvrir et faire découvrir des cultures;Problèmes liés à la santé, aux médicaments ou aux produits biologiques, Problèmes liés à l'agriculture et à l'élevage;Faire des sorties / visites de terrain, Faire des recherches documentaires, Participer à des simulations ou études de cas, Travailler en groupe, Faire des travaux pratiques;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Commerce / magasin;échecs;Avec beaucoup de contacts avec des partenaires;Utiliser mes points forts, Travailler dans mon domaine de passion, Résoudre des problèmes;Non;;;
2026-08-27 21:51:50.000000;Étudiant(e);Série Technique;Technologie / Sciences industrielles, Physique;Technologie / Sciences industrielles, Mathématiques, Physique, Sciences de la vie / Biologie;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures, Faire des calculs et résoudre des problèmes mathématiques;Problèmes techniques et industriels, Problèmes liés à la construction et aux infrastructures, Problèmes liés aux machines et aux systèmes;Participer à des simulations ou études de cas, Réaliser un projet, Faire des recherches documentaires, Faire des travaux pratiques;Équilibré entre Théorie et Pratique;Travail principalement régulier et structuré;Atelier;architecture, astronomie;Seul(e);Avoir un métier stable, Résoudre des problèmes, Utiliser mes matières préférées;Non;;;
2026-08-21 22:48:27.000000;Étudiant(e);Série S;Chimie, Mathématiques, Physique, Informatique;Mathématiques, Physique, Chimie, Français / Langues;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Développer des logiciels ou utiliser des technologies numériques, Travailler dans le tourisme;Problèmes techniques et industriels, Problèmes scientifiques et expérimentaux, Problèmes mathématiques et logiques;Travailler en groupe, Réaliser des expériences, Résoudre des exercices, Participer à des simulations ou études de cas;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Entreprise / organisation;marketing, jardinage, cinéma, entrepreneuriat;En binôme;Faire quelque chose que j'aime, Être utile à la société, Travailler avec des personnes;Oui;ISAIA : Informatique Statistique Appliquée et Intelligence Artificielle;;
2026-08-21 11:41:12.000000;Étudiant(e);Série L;Histoire / Géographie, Français / Langues;Français / Langues, Histoire / Géographie, Philosophie, Physique, Économie;Rédiger, Argumenter, Mémoriser, Observer, Analyser des informations;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes liés à la gestion d'une organisation, Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce;Faire des travaux pratiques, Résoudre des exercices, Participer à des simulations ou études de cas, Faire des présentations / exposés, Faire des sorties / visites de terrain;Orienté fortement Théorie, Leçons;Je ne sais pas encore;Environnement naturel;entrepreneuriat, langues, géopolitique;En binôme;Avoir un salaire intéressant, Utiliser mes matières préférées, Travailler avec des technologies;Non;;;
2026-08-29 07:32:47.000000;Professionnel(le) diplômé(e) / Actif(ve);Série L;Français / Langues, Philosophie, Arts / Design;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Étudier les propriétés des substances et des matériaux;Problèmes liés à la communication et au commerce, Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation;Participer à des simulations ou études de cas, Faire des recherches documentaires, Faire des sorties / visites de terrain, Résoudre des exercices;Orienté très fortement Pratique & Projets;Travail principalement régulier et structuré;Banque / institution financière;échecs, bricolage, dessin, mode;En petite équipe;Faire de la recherche, Avoir un salaire intéressant, Faire quelque chose que j'aime;Oui;CAA : Commerce et Administration des Affaires;Ingénieur industriel;1
2026-08-28 22:15:16.000000;Étudiant(e);Série S;Chimie, Physique, Mathématiques;Mathématiques, Physique, Chimie;Calculer, Analyser des informations, Résoudre des problèmes, Expérimenter, Rédiger, Observer;Analyser des chiffres et des données, Faire des calculs et résoudre des problèmes mathématiques, Observer et comprendre des phénomènes scientifiques, Développer des logiciels ou utiliser des technologies numériques;Problèmes scientifiques et expérimentaux, Problèmes techniques et industriels, Problèmes mathématiques et logiques;Participer à des simulations ou études de cas, Faire des sorties / visites de terrain, Faire des présentations / exposés;Orienté fortement Théorie, Leçons;Je ne sais pas encore;Atelier;programmation, voyage;En petite équipe;Avoir la possibilité de travailler à l'étranger, Faire quelque chose que j'aime, Utiliser mes matières préférées, Résoudre des problèmes;Oui;IMTICIA : Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle;;
2026-08-25 05:19:00.000000;Professionnel(le) diplômé(e) / Actif(ve);Série Technique;Technologie / Sciences industrielles, Physique, Mathématiques, Arts / Design;Technologie / Sciences industrielles, Mathématiques, Physique, Philosophie;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Rédiger;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures, Gérer les finances et la comptabilité;Problèmes liés aux machines et aux systèmes, Problèmes liés à la construction et aux infrastructures, Problèmes techniques et industriels;Réaliser un projet, Faire des sorties / visites de terrain, Faire des recherches documentaires, Réaliser des expériences;Orienté fortement Théorie, Leçons;Je ne sais pas encore;Banque / institution financière;histoire, théâtre;Avec beaucoup de contacts avec des partenaires;Travailler avec des personnes, Avoir un salaire intéressant, Avoir de bonnes opportunités d'emploi;Non;;Pharmacien;5
2026-08-20 02:27:17.000000;Professionnel(le) diplômé(e) / Actif(ve);Série L;Philosophie, Français / Langues, Arts / Design;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes juridiques et réglementaires, Problèmes liés à la communication et au commerce, Problèmes liés à la gestion d'une organisation;Faire des recherches documentaires, Résoudre des exercices, Faire des sorties / visites de terrain;Orienté très fortement Pratique & Projets;Travail avec des tâches variées;Centre de recherche;cinéma, sport;En petite équipe;Faire de la recherche, Avoir la possibilité de travailler à l'étranger, Travailler avec des personnes, Utiliser mes points forts;Non;;Architecte;5
2026-08-21 17:39:00.000000;Professionnel(le) diplômé(e) / Actif(ve);Série L;Histoire / Géographie, Français / Langues, Philosophie, Économie;Français / Langues, Histoire / Géographie, Philosophie, Physique, Gestion / Comptabilité;Rédiger, Argumenter, Mémoriser, Observer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Travailler dans le tourisme, Découvrir et faire découvrir des cultures;Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation;Résoudre des exercices, Travailler en groupe, Faire des sorties / visites de terrain, Faire des recherches documentaires;Équilibré entre Théorie et Pratique;Travail avec des tâches variées;Terrain agricole;chimie;Avec beaucoup de contacts avec des partenaires;Travailler dans un domaine scientifique, Être utile à la société, Résoudre des problèmes, Travailler avec des technologies;Non;;Avocat;2
2026-08-23 14:43:08.000000;Étudiant(e);Série Technique;Physique, Technologie / Sciences industrielles, Informatique;Technologie / Sciences industrielles, Mathématiques, Physique, Arts / Design, Français / Langues;Manipuler des outils, Dessiner / concevoir, Résoudre des problèmes, Calculer, Travailler avec des personnes, Organiser;Concevoir des systèmes techniques, Comprendre et utiliser des machines, Concevoir et construire des objets ou infrastructures, Travailler dans le tourisme, Étudier le vivant, les plantes ou les animaux;Problèmes techniques et industriels, Problèmes liés à la construction et aux infrastructures;Réaliser un projet, Réaliser des expériences, Faire des sorties / visites de terrain, Faire des présentations / exposés, Faire des travaux pratiques;Orienté fortement Théorie, Leçons;Travail principalement régulier et structuré;Environnement informatique / numérique;bricolage, électronique, chimie, animaux;Seul(e);Créer ma propre entreprise, Avoir de bonnes opportunités d'emploi, Travailler avec des personnes, Travailler dans mon domaine de passion;Oui;GCA : Génie Civil et Architecture;;
2026-08-30 14:05:09.000000;Étudiant(e);Série A1 /Série A2;Français / Langues, Philosophie, Histoire / Géographie, Gestion / Comptabilité;Français / Langues, Histoire / Géographie, Philosophie;Rédiger, Argumenter, Mémoriser, Observer, Manipuler des outils;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Découvrir et faire découvrir des cultures, Protéger l'environnement;Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation;Faire des travaux pratiques, Faire des présentations / exposés, Faire des recherches documentaires, Travailler en groupe, Faire des sorties / visites de terrain;Orienté fortement Théorie, Leçons;Travail avec des tâches variées;Usine / environnement industriel;animaux, finance, économie, géopolitique;Cela m'est égal;Avoir un salaire intéressant, Travailler avec des technologies, Pouvoir évoluer professionnellement;Non;;;
2026-08-26 13:52:58.000000;Étudiant(e);Autre;Histoire / Géographie, Français / Langues, Arts / Design;Français / Langues, Histoire / Géographie, Arts / Design;Organiser, Communiquer, Travailler avec des personnes, Rédiger;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Étudier des lois, règles et réglementations;Problèmes économiques et financiers, Problèmes liés à l'environnement;Réaliser un projet, Travailler en groupe, Faire des travaux pratiques;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Terrain agricole;dessin, voyage, lecture;Avec beaucoup de contacts avec des clients / utilisateurs;Créer ma propre entreprise, Avoir de bonnes opportunités d'emploi;Oui;EMP : Economie et Management de Projet;;
2026-08-21 15:01:51.000000;Étudiant(e);Série L;Français / Langues, Philosophie;Français / Langues, Histoire / Géographie, Philosophie, Mathématiques;Rédiger, Argumenter, Mémoriser, Observer, Travailler avec des personnes;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes, Observer et comprendre des phénomènes scientifiques, Créer et concevoir des contenus;Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation, Problèmes liés à la communication et au commerce;Travailler en groupe, Réaliser un projet;Orienté fortement Théorie, Leçons;Travail principalement régulier et structuré;Banque / institution financière;bricolage, musique;Cela m'est égal;Travailler dans un domaine scientifique, Travailler avec des personnes, Avoir un salaire intéressant, Faire de la recherche, Travailler avec des technologies;Oui;CAA : Commerce et Administration des Affaires;;
2026-08-29 01:57:23.000000;Professionnel(le) diplômé(e) / Actif(ve);Série A1 /Série A2;Philosophie, Histoire / Géographie, Gestion / Comptabilité;Français / Langues, Histoire / Géographie, Philosophie, Gestion / Comptabilité;Rédiger, Argumenter, Mémoriser, Observer, Communiquer;Défendre une idée ou argumenter, Étudier des lois, règles et réglementations, Communiquer et travailler avec des personnes;Problèmes juridiques et réglementaires, Problèmes liés à la gestion d'une organisation, Problèmes liés à la communication et au commerce;Faire des recherches documentaires, Participer à des simulations ou études de cas, Faire des sorties / visites de terrain, Travailler en groupe;Orienté très fortement Pratique & Projets;Je ne sais pas encore;Tribunal / administration juridique;animaux, jeux vidéo, économie, langues;Avec beaucoup de contacts avec des clients / utilisateurs;Pouvoir évoluer professionnellement, Utiliser mes points forts, Avoir de bonnes opportunités d'emploi, Avoir un salaire intéressant;Oui;FIC : Finances et Comptabilités;Agent de développement durable;5
2026-08-20 06:49:51.000000;Étudiant(e);Autre;Histoire / Géographie, Français / Langues, Informatique;Français / Langues, Histoire / Géographie, Mathématiques;Organiser, Communiquer, Travailler avec des personnes, Manipuler des outils;Organiser et coordonner des projets, Gérer une entreprise ou une organisation;Problèmes liés à l'environnement, Problèmes économiques et financiers;Faire des recherches documentaires, Résoudre des exercices, Travailler en groupe;Équilibré entre Théorie et Pratique;Je ne sais pas encore;Environnement naturel;design;Seul(e);Avoir un métier stable, Travailler avec des technologies, Pouvoir évoluer professionnellement, Faire de la recherche;Oui;EMP : Economie et Management de Projet;;
2026-08-30 07:43:29.000000;Professionnel(le) diplômé(e) / Actif(ve);Autre;Français / Langues, Histoire / Géographie, Arts / Design;Français / Langues, Histoire / Géographie, Gestion / Comptabilité, Mathématiques;Organiser, Communiquer, Travailler avec des personnes;Organiser et coordonner des projets, Gérer une entreprise ou une organisation, Communiquer et travailler avec des personnes, Faire de la recherche scientifique;Problèmes économiques et financiers, Problèmes liés à l'environnement;Résoudre des exercices, Faire des travaux pratiques, Réaliser un projet, Faire des présentations / exposés;Équilibré entre Théorie et Pratique;Travail principalement régulier et structuré;Centre de recherche;cinéma, entrepreneuriat, danse, astronomie;Avec beaucoup de contacts avec des partenaires;Être utile à la société, Faire quelque chose que j'aime, Travailler avec des technologies, Faire de la recherche;Oui;EMP : Economie et Management de Projet;Ingénieur industriel;5
